case,seed,dispatch,task_id,cumulative_share
case3,2,1100,4,0.182727
case3,2,1100,5,0.221818
case3,2,1200,1,0.214167
case3,2,1200,2,0.190000
case3,2,1200,3,0.183333
case3,2,1200,4,0.191667
case3,2,1200,5,0.220833
case3,2,1300,1,0.216923
case3,2,1300,2,0.190769
case3,2,1300,3,0.181538
case3,2,1300,4,0.190000
case3,2,1300,5,0.220769
case3,2,1400,1,0.220714
case3,2,1400,2,0.192143
case3,2,1400,3,0.179286
case3,2,1400,4,0.185714
case3,2,1400,5,0.222143
case3,2,1500,1,0.216000
case3,2,1500,2,0.192667
case3,2,1500,3,0.180000
case3,2,1500,4,0.190000
case3,2,1500,5,0.221333
case3,2,1600,1,0.214375
case3,2,1600,2,0.196875
case3,2,1600,3,0.183125
case3,2,1600,4,0.185000
case3,2,1600,5,0.220625
case3,2,1700,1,0.215882
case3,2,1700,2,0.194706
case3,2,1700,3,0.184706
case3,2,1700,4,0.185882
case3,2,1700,5,0.218824
case3,2,1800,1,0.213333
case3,2,1800,2,0.193333
case3,2,1800,3,0.184444
case3,2,1800,4,0.191111
case3,2,1800,5,0.217778
case3,2,1900,1,0.209474
case3,2,1900,2,0.190000
case3,2,1900,3,0.185263
case3,2,1900,4,0.194737
case3,2,1900,5,0.220526
case3,2,2000,1,0.209000
case3,2,2000,2,0.190500
case3,2,2000,3,0.182500
case3,2,2000,4,0.194500
case3,2,2000,5,0.223500
case3,2,2100,1,0.208571
case3,2,2100,2,0.190000
case3,2,2100,3,0.181429
case3,2,2100,4,0.193333
case3,2,2100,5,0.226667
case3,2,2200,1,0.206818
case3,2,2200,2,0.191364
case3,2,2200,3,0.185000
case3,2,2200,4,0.191364
case3,2,2200,5,0.225455
case3,2,2300,1,0.205652
case3,2,2300,2,0.193478
case3,2,2300,3,0.186087
case3,2,2300,4,0.192609
case3,2,2300,5,0.222174
case3,2,2400,1,0.207083
case3,2,2400,2,0.193333
case3,2,2400,3,0.184167
case3,2,2400,4,0.191667
case3,2,2400,5,0.223750
case3,2,2500,1,0.206800
case3,2,2500,2,0.194000
case3,2,2500,3,0.184400
case3,2,2500,4,0.193200
case3,2,2500,5,0.221600
case3,2,2600,1,0.206154
case3,2,2600,2,0.195000
case3,2,2600,3,0.184231
case3,2,2600,4,0.195769
case3,2,2600,5,0.218846
case3,2,2700,1,0.208519
case3,2,2700,2,0.195926
case3,2,2700,3,0.182222
case3,2,2700,4,0.196296
case3,2,2700,5,0.217037
case3,2,2800,1,0.208929
case3,2,2800,2,0.197143
case3,2,2800,3,0.182143
case3,2,2800,4,0.195714
case3,2,2800,5,0.216071
case3,2,2900,1,0.208621
case3,2,2900,2,0.197241
case3,2,2900,3,0.180345
case3,2,2900,4,0.198621
case3,2,2900,5,0.215172
case3,2,3000,1,0.205333
case3,2,3000,2,0.199000
case3,2,3000,3,0.179667
case3,2,3000,4,0.200000
case3,2,3000,5,0.216000
case3,2,3100,1,0.204516
case3,2,3100,2,0.201290
case3,2,3100,3,0.180323
case3,2,3100,4,0.200645
case3,2,3100,5,0.213226
case3,2,3200,1,0.201563
case3,2,3200,2,0.202187
case3,2,3200,3,0.181250
case3,2,3200,4,0.201563
case3,2,3200,5,0.213438
case3,2,3300,1,0.200909
case3,2,3300,2,0.201212
case3,2,3300,3,0.182121
case3,2,3300,4,0.202121
case3,2,3300,5,0.213636
case3,2,3400,1,0.200588
case3,2,3400,2,0.201176
case3,2,3400,3,0.184412
case3,2,3400,4,0.200294
case3,2,3400,5,0.213529
case3,2,3500,1,0.200000
case3,2,3500,2,0.201429
case3,2,3500,3,0.184571
case3,2,3500,4,0.200000
case3,2,3500,5,0.214000
case3,2,3600,1,0.198889
case3,2,3600,2,0.202778
case3,2,3600,3,0.183056
case3,2,3600,4,0.200556
case3,2,3600,5,0.214722
case3,2,3700,1,0.198649
case3,2,3700,2,0.203243
case3,2,3700,3,0.184054
case3,2,3700,4,0.199189
case3,2,3700,5,0.214865
case3,2,3800,1,0.199474
case3,2,3800,2,0.203158
case3,2,3800,3,0.184474
case3,2,3800,4,0.200000
case3,2,3800,5,0.212895
case3,2,3900,1,0.200769
case3,2,3900,2,0.202821
case3,2,3900,3,0.184359
case3,2,3900,4,0.199487
case3,2,3900,5,0.212564
case3,2,4000,1,0.200000
case3,2,4000,2,0.201000
case3,2,4000,3,0.187000
case3,2,4000,4,0.198500
case3,2,4000,5,0.213500
case3,2,4100,1,0.201707
case3,2,4100,2,0.199268
case3,2,4100,3,0.188537
case3,2,4100,4,0.198537
case3,2,4100,5,0.211951
case3,2,4200,1,0.201667
case3,2,4200,2,0.199286
case3,2,4200,3,0.189524
case3,2,4200,4,0.197619
case3,2,4200,5,0.211905
case3,2,4300,1,0.200698
case3,2,4300,2,0.198605
case3,2,4300,3,0.190465
case3,2,4300,4,0.198372
case3,2,4300,5,0.211860
